STATUS CODE,CLOSE/OPEN,AREA CHECK POINT,GROUPING,TRIGGER STATUS,IDENTIFIKASI,DESCRIPTION,DEFINISI (Bahasa Indonesia),DISPLAYED AT ORION,-,DISPLAYED AT WEBSITE,-.1,DISPLAYED AT MYJNE,SMS NOTIFICATION SCRIPT,STATUS POD,STATUS FOLLOW UP
D08,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY BOARDING HOUSE KEEPER / OWNER,PENJAGA KOS,,,SHIPMENT RECEIVED BY BOARDING HOUSE KEEPER / OWNER,,,,CLOSE / SUKSES,
D09,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY FAMILY AT THE SAME ADDRESS,KELUARGA/SAUDARA,,,SHIPMENT RECEIVED BY FAMILY AT THE SAME ADDRESS,,,,CLOSE / SUKSES,
D10,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY OFFICE COLLEAGUE,ATASAN/STAFF/KARYAWAN/BAWAHAN,,,SHIPMENT RECEIVED BY OFFICE COLLEAGUE,,,,CLOSE / SUKSES,
D11,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY DRIVER,SUPIR,,,SHIPMENT RECEIVED BY ERRAND BOY,,,,CLOSE / SUKSES,
D12,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),SHIPMENT RECEIVED BY ERRAND BOY,OFFICE BOY,,,,,,,CLOSE / SUKSES,
D15,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),KIRIMAN RETURN DITERIMA OLEH CCC ORIGIN JNE,CCC ORIGIN,,,,,,,CLOSE / SUKSES,
D16,CLOSE, DELIVERY,DELIVERED,,RUNSHEET (DRI),KIRIMAN RETURN DITERIMA OLEH UNDEL ORIGIN JNE,UNDEL ORIGIN,,,,,,,CLOSE / SUKSES,
D24,CLOSE, DELIVERY,DAMAGE - LAZADA,,RUNSHEET (DRI),KIRIMAN RUSAK ,KIRIMAN  RUSAK DITERIMA OLEH JNE ,SHIPMENT DAMAGE  RECEIVED BY JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D25,CLOSE - BREACH, DELIVERY,BREACH MP,,RUNSHEET (DRI),KIRIMAN BREACH LAZADA (21 HARI AFTER PRAPOSTING),KIRIMAN BREACH DITERIMA OLEH JNE,SHIPMENT BREACH RECEIVED BY JNE,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
D26,OPEN - AUTOCLOSE, DELIVERY,BREACH NON MP,,RUNSHEET (DRI),BREACH NON MP,KIRIMAN BREACH COD DITERIMA OLEH CNEE,SHIPMENT BREACH COD RECEIVED BY CUSTOMER,,SHIPMENT PROBLEM,,,,CLOSE / BREACH,
WH1,,UNDEL,HANDOVER UNDEL WEREHOUSE HOLD,,WUS,HANDOVER SHIPMENT FROM PIC UNDEL TO PIC WAREHOUSE,SERAH TERIMA KIRIMAN OVER SLA DARI TIM UNDEL KE PIC UNDEL WAREHOUSE,RECEIVED AT UNDEL WAREHOUSE DESTINATION ,,,,,,CLOSE / RETURN,
WH2,,UNDEL,HANDOVER UNDEL WEREHOUSE HOLD,,WUS,HANDOVER SHIPMENT FROM PIC WAREHOUSE TO PIC UNDEL,PENGEMBALIAN KIRIMAN OVER SLA DARI PIC UNDEL WAREHOUSE KE KE PETUGAS UNDEL,RECEIVED AT UNDEL DESTINATION TO RETURN PROCESS,,,,,,CLOSE / UNDEL,
WH3,,UNDEL,HANDOVER UNDEL WEREHOUSE HOLD,,WUS,HANDOVER SHIPMENT FROM PIC UNDEL TO PIC CHECKER INBOUND,SERAH TERIMA KIRIMAN DARI PIC UNDEL KE PETUGAS CHECKER INBOUND,RECEIVED AT UNDEL DESTINATION TO REDELIVERY PROCESS,,,,,,CLOSE / UNDEL,
WH4,,UNDEL,HANDOVER UNDEL WEREHOUSE HOLD,,WUS,DESTROY SHIPMENT,SERAH TERIMA KIRIMAN UNDEL KE PIC DESTROY UNTUK PROSES PEMUSNAHAN KIRIMAN,DESTROY SHIPMENT,,,,,,CLOSE / IRREG,
