SYSCODE,CODE,REGIONAL,KABUPATEN,KECAMATAN,STATUS,THREE LETTER CODE,MANIFEST DOMESTIC,MANIFEST INTERCITY,ZONA TARIF (PPDD),ZONA DELEVERY (QCE),RING ORIGIN,WILAYAH
MES22307,MES,SUMATERA,Serdang Bedagai,Sipispis,,MES-TBT,MES10000,MES21100,C,C,RING 2,SUM-UT
MES22308,MES,SUMATERA,Serdang Bedagai,Tanjung Beringin,,MES-RMH,MES10000,MES22300,C,C,RING 2,SUM-UT
MES22309,MES,SUMATERA,Tebing Tinggi,Tebing Tinggi Kota,,MES-TBT,MES10000,MES21100,C,C,RING 2,SUM-UT
MES22310,MES,SUMATERA,Serdang Bedagai,Teluk Mengkudu,,MES-RMH,MES10000,MES22300,C,C,RING 2,SUM-UT
MES22311,MES,SUMATERA,Serdang Bedagai,Tebing Syahbandar,,MES-TBT,MES10000,MES21100,C,C,RING 2,SUM-UT
MES22312,MES,SUMATERA,Serdang Bedagai,Silinda,,MES-LBP,MES10000,MES10600,C,C,RING 2,SUM-UT
MES22313,MES,SUMATERA,Serdang Bedagai,Serba Jadi,,MES-RMH,MES10000,MES22300,C,C,RING 2,SUM-UT
MES22314,MES,SUMATERA,Serdang Bedagai,Sei Bamban,,MES-RMH,MES10000,MES22300,B,B,RING 2,SUM-UT
MES22315,MES,SUMATERA,Serdang Bedagai,Pegajahan,,MES-RMH,MES10000,MES22300,C,C,RING 2,SUM-UT
MES22316,MES,SUMATERA,Serdang Bedagai,Bintang Bayu,,MES-RMH,MES10000,MES22300,C,C,RING 2,SUM-UT
MES22500,MES,SUMATERA,Kota Tanjung Balai,Tanjung Balai,CABANG,MES-TJB,MES10000,MES22500,C,C,RING 2,SUM-UT
MES22501,MES,SUMATERA,Tanjung Balai,Datuk Bandar,,MES-TJB,MES10000,MES22500,C,C,RING 2,SUM-UT
MES22502,MES,SUMATERA,Tanjung Balai,Sei Tualang Raso,,MES-TJB,MES10000,MES22500,C,C,RING 2,SUM-UT
MES22503,MES,SUMATERA,Tanjung Balai,Tanjung Balai Selatan,,MES-TJB,MES10000,MES22500,C,C,RING 2,SUM-UT
MES22504,MES,SUMATERA,Tanjung Balai,Tanjung Balai Utara,,MES-TJB,MES10000,MES22500,C,C,RING 2,SUM-UT
MES22505,MES,SUMATERA,Tanjung Balai,Teluk Nibung,,MES-TJB,MES10000,MES22500,C,C,RING 2,SUM-UT
MES22506,MES,SUMATERA,Tanjung Balai,Datuk Bandar Timur,,MES-TJB,MES10000,MES22500,C,C,RING 2,SUM-UT
MES22600,MES,SUMATERA,Kota Pematangsiantar,Pematang Siantar,CABANG,MES-PMS,MES10000,MES22600,B,B,RING 2,SUM-UT
MES22601,MES,SUMATERA,Pematang Siantar,Siantar Barat,,MES-PMS,MES10000,MES22600,B,B,RING 2,SUM-UT
MES22602,MES,SUMATERA,Pematang Siantar,Siantar Marihat,,MES-PMS,MES10000,MES22600,B,B,RING 2,SUM-UT
MES22603,MES,SUMATERA,Pematang Siantar,Siantar Martoba,,MES-PMS,MES10000,MES22600,B,B,RING 2,SUM-UT
MES22604,MES,SUMATERA,Pematang Siantar,Siantar Selatan,,MES-PMS,MES10000,MES22600,B,B,RING 2,SUM-UT
MES22605,MES,SUMATERA,Pematang Siantar,Siantar Timur,,MES-PMS,MES10000,MES22600,B,B,RING 2,SUM-UT
MES22606,MES,SUMATERA,Pematang Siantar,Siantar Utara,,MES-PMS,MES10000,MES22600,B,B,RING 2,SUM-UT
MES22607,MES,SUMATERA,Pematang Siantar,Siantar Marimbun,,MES-PMS,MES10000,MES22600,B,B,RING 2,SUM-UT
MES22608,MES,SUMATERA,Pematang Siantar,Siantar Sitalasari,,MES-PMS,MES10000,MES22600,B,B,RING 2,SUM-UT
MES23100,MES,SUMATERA,Labuhanbatu Utara,Kualuh Selatan,,MES-ANP,MES20713,MES20713,C,C,RING 2,SUM-UT
PDG10000,PDG,SUMATERA,Kota Padang,Padang,CABANG UTAMA,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10008,PDG,SUMATERA,Padang,Bungus Teluk Kabung,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10009,PDG,SUMATERA,Padang,Koto Tangah,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10010,PDG,SUMATERA,Padang,Kuranji,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10011,PDG,SUMATERA,Padang,Lubuk Begalung,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10012,PDG,SUMATERA,Padang,Lubuk Kilangan,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10013,PDG,SUMATERA,Padang,Nanggalo,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10014,PDG,SUMATERA,Padang,Padang Barat,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10015,PDG,SUMATERA,Padang,Padang Selatan,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10016,PDG,SUMATERA,Padang,Padang Timur,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10017,PDG,SUMATERA,Padang,Padang Utara,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG10018,PDG,SUMATERA,Padang,Pauh,,PDG,PDG10000,PDG10000,A,A,RING 1,SUM-UT
PDG20100,PDG,SUMATERA,Kab. Tanah Datar,Batu Sangkar,CABANG,PDG-BTS,PDG10000,PDG20100,B,B,RING 2,SUM-UT
PDG20101,PDG,SUMATERA,Tanah Datar,Batipuh,,PDG-PDP,PDG10000,PDG21100,C,C,RING 2,SUM-UT
PDG20103,PDG,SUMATERA,Tanah Datar,Lintau Buo,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20106,PDG,SUMATERA,Tanah Datar,Pariangan,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20107,PDG,SUMATERA,Tanah Datar,Rambatan,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20108,PDG,SUMATERA,Tanah Datar,Salimpaung,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20110,PDG,SUMATERA,Tanah Datar,Sungai Tarab,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20111,PDG,SUMATERA,Tanah Datar,Sungayang,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20112,PDG,SUMATERA,Tanah Datar,Tanjung Emas,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20114,PDG,SUMATERA,Tanah Datar,Batipuh Selatan,,PDG-PDP,PDG10000,PDG21100,C,C,RING 2,SUM-UT
PDG20115,PDG,SUMATERA,Tanah Datar,Lima Kaum,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20116,PDG,SUMATERA,Tanah Datar,Lintau Buo Utara,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20117,PDG,SUMATERA,Tanah Datar,Padang Ganting,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20118,PDG,SUMATERA,Tanah Datar,Sepuluh Koto (X Koto),,PDG-PDP,PDG10000,PDG21100,C,C,RING 2,SUM-UT
PDG20119,PDG,SUMATERA,Tanah Datar,Tanjung Baru,,PDG-BTS,PDG10000,PDG20100,C,C,RING 2,SUM-UT
PDG20200,PDG,SUMATERA,Kota Bukit Tinggi,Bukit Tinggi,CABANG,PDG-BKT,PDG10000,PDG20200,B,B,RING 2,SUM-UT
PDG20211,PDG,SUMATERA,Bukittinggi,Aur Birugo Tigo Baleh,,PDG-BKT,PDG10000,PDG20200,B,B,RING 2,SUM-UT
PDG20212,PDG,SUMATERA,Bukittinggi,Mandiangin Koto Selayan,,PDG-BKT,PDG10000,PDG20200,B,B,RING 2,SUM-UT
PDG20213,PDG,SUMATERA,Bukittinggi,Guguk Panjang (Guguak Panjang),,PDG-BKT,PDG10000,PDG20200,B,B,RING 2,SUM-UT
PDG20300,PDG,SUMATERA,Kab. Pasaman,Lubuk Sikaping,CABANG,PDG-LBS,PDG10000,PDG20300,B,B,RING 2,SUM-UT
PDG20301,PDG,SUMATERA,Pasaman,Bonjol,,PDG-LBS,PDG10000,PDG20300,C,C,RING 2,SUM-UT
PDG20305,PDG,SUMATERA,Pasaman,Panti,,PDG-LBS,PDG10000,PDG20300,C,C,RING 2,SUM-UT
PDG20308,PDG,SUMATERA,Pasaman,Rao,,PDG-LBS,PDG10000,PDG20300,C,C,RING 2,SUM-UT
PDG20314,PDG,SUMATERA,Pasaman,Tigo Nagari (III Nagari),,PDG-LBS,PDG10000,PDG20300,C,C,RING 2,SUM-UT
PDG20315,PDG,SUMATERA,Pasaman,Mapat Tunggul Selatan,,PDG-LBS,PDG10000,PDG20300,C,C,RING 2,SUM-UT
PDG20316,PDG,SUMATERA,Pasaman,Duo Koto (II Koto),,PDG-LBS,PDG10000,PDG20300,C,C,RING 2,SUM-UT
PDG20325,PDG,SUMATERA,Pasaman,Mapat Tunggul,,PDG-LBS,PDG10000,PDG20300,C,C,RING 2,SUM-UT
PDG20326,PDG,SUMATERA,Pasaman,Simpang Alahan Mati,,PDG-LBS,PDG10000,PDG20300,C,C,RING 2,SUM-UT
PDG20327,PDG,SUMATERA,Pasaman,Rao Utara,,PDG-LBS,PDG10000,PDG20300,C,C,RING 2,SUM-UT
